gid,id,entidad,distrito,tipo,control,geometry1_,ent_nom,WIKIDATA,name_es,name_en,MS_FB_PARE,MS_FB
1,1.000000000000000,1.0,1.0,9,0.000000000000000,,AGUASCALIENTES,Q3790175,I distrito electoral federal de Aguascalientes,1st federal electoral district of Aguascalientes,country:mx/state:agu,country:mx/state:agu/fed:1
2,2.000000000000000,1.0,2.0,7,0.000000000000000,,AGUASCALIENTES,Q543822,II distrito electoral federal de Aguascalientes,2nd federal electoral district of Aguascalientes,country:mx/state:agu,country:mx/state:agu/fed:2
3,3.000000000000000,1.0,3.0,7,0.000000000000000,,AGUASCALIENTES,Q3788559,III distrito electoral federal de Aguascalientes,3rd federal electoral district of Aguascalientes,country:mx/state:agu,country:mx/state:agu/fed:3
1,1.000000000000000,2.0,1.0,8,0.000000000000000,,BAJA CALIFORNIA,Q5452996,I distrito electoral federal de Baja California,1st federal electoral district of Baja California,country:mx/state:bcn,country:mx/state:bcn/fed:1
2,2.000000000000000,2.0,2.0,7,0.000000000000000,,BAJA CALIFORNIA,Q11682778,II distrito electoral federal de Baja California,2nd federal electoral district of Baja California,country:mx/state:bcn,country:mx/state:bcn/fed:2
3,3.000000000000000,2.0,3.0,11,0.000000000000000,,BAJA CALIFORNIA,Q5906850,III distrito electoral federal de Baja California,3rd federal electoral district of Baja California,country:mx/state:bcn,country:mx/state:bcn/fed:3
4,4.000000000000000,2.0,4.0,7,0.000000000000000,,BAJA CALIFORNIA,Q5907277,IV distrito electoral federal de Baja California,4th federal electoral district of Baja California,country:mx/state:bcn,country:mx/state:bcn/fed:4
5,5.000000000000000,2.0,5.0,7,0.000000000000000,,BAJA CALIFORNIA,Q5447516,V distrito electoral federal de Baja California,5th federal electoral district of Baja California,country:mx/state:bcn,country:mx/state:bcn/fed:5
6,6.000000000000000,2.0,6.0,7,0.000000000000000,,BAJA CALIFORNIA,Q6158413,VI distrito electoral federal de Baja California,6th federal electoral district of Baja California,country:mx/state:bcn,country:mx/state:bcn/fed:6
7,7.000000000000000,2.0,7.0,9,0.000000000000000,,BAJA CALIFORNIA,Q6158385,VII distrito electoral federal de Baja California,7th federal electoral district of Baja California,country:mx/state:bcn,country:mx/state:bcn/fed:7
