gid,__gid,id,entidad,nombre,wikilabel,ISO 3166-2 code,MS_FB,MS_FB_PARE,WIKIDATA,circunscri,crc,control,geometry1_
1,1,1,1,AGUASCALIENTES,Aguascalientes,MX-AGU,country:mx/senate-state:agu,country:mx,Q53538965,2,1,1,
2,1,1,2,BAJA CALIFORNIA,Baja California,MX-BCN,country:mx/senate-state:bcn,country:mx,Q53538970,1,8,1,
3,1,1,3,BAJA CALIFORNIA SUR,Baja California Sur,MX-BCS,country:mx/senate-state:bcs,country:mx,Q53538975,1,4,1,
4,1,1,4,CAMPECHE,Campeche,MX-CAM,country:mx/senate-state:cam,country:mx,Q53538980,3,10,1,
5,1,1,5,COAHUILA,Coahuila,MX-COA,country:mx/senate-state:coa,country:mx,Q53538984,2,11,1,
6,1,2,6,COLIMA,Colima,MX-COL,country:mx/senate-state:col,country:mx,Q53538992,1,7,1,
7,1,1,7,CHIAPAS,Chiapas,MX-CHP,country:mx/senate-state:chp,country:mx,Q53538998,3,17,1,
8,1,1,8,CHIHUAHUA,Chihuahua,MX-CHH,country:mx/senate-state:chh,country:mx,Q53539005,2,5,0,
9,1,1,9,DISTRITO FEDERAL,Mexico City,MX-CMX,country:mx/senate-federal-district:cmx,country:mx,Q53539010,4,6,1,
10,1,1,10,DURANGO,Durango,MX-DUR,country:mx/senate-state:dur,country:mx,Q53539018,1,1,1,
11,1,1,11,GUANAJUATO,Guanajuato,MX-GUA,country:mx/senate-state:gua,country:mx,Q53539031,1,15,0,
12,1,1,12,GUERRERO,Guerrero,MX-GRO,country:mx/senate-state:gro,country:mx,Q53539035,5,3,1,
13,1,1,13,HIDALGO,Hidalgo,MX-HID,country:mx/senate-state:hid,country:mx,Q53539269,5,2,1,
14,1,2,14,JALISCO,Jalisco,MX-JAL,country:mx/senate-state:jal,country:mx,Q53539277,1,7,1,
15,1,1,15,MEXICO,México,MX-MEX,country:mx/senate-state:mex,country:mx,Q53539025,5,16,1,
16,1,1,16,MICHOACAN,Michoacán,MX-MIC,country:mx/senate-state:mic,country:mx,Q53539284,5,12,0,
17,1,1,17,MORELOS,Morelos,MX-MOR,country:mx/senate-state:mor,country:mx,Q53539292,4,3,0,
18,1,1,18,NAYARIT,Nayarit,MX-NAY,country:mx/senate-state:nay,country:mx,Q53539299,1,7,2,
19,1,1,19,NUEVO LEON,Nuevo León,MX-NLE,country:mx/senate-state:nle,country:mx,Q53539307,2,11,1,
20,1,1,20,OAXACA,Oaxaca,MX-OAX,country:mx/senate-state:oax,country:mx,Q53539312,3,13,1,
21,1,1,21,PUEBLA,Puebla,MX-PUE,country:mx/senate-state:pue,country:mx,Q53539319,4,14,1,
22,2,1,22,QUERETARO,Querétaro,MX-QUE,country:mx/senate-state:que,country:mx,Q53539325,2,15,1,
23,1,1,23,QUINTANA ROO,Quintana Roo,MX-ROO,country:mx/senate-state:roo,country:mx,Q53539330,3,10,0,
24,3,1,24,SAN LUIS POTOSI,San Luis Potosí,MX-SLP,country:mx/senate-state:slp,country:mx,Q53539336,2,1,1,
25,2,1,25,SINALOA,Sinaloa,MX-SIN,country:mx/senate-state:sin,country:mx,Q53539342,1,4,1,
26,3,1,26,SONORA,Sonora,MX-SON,country:mx/senate-state:son,country:mx,Q53539349,1,11,1,
27,1,1,27,TABASCO,Tabasco,MX-TAB,country:mx/senate-state:tab,country:mx,Q53539355,3,17,1,
28,1,1,28,TAMAULIPAS,Tamaulipas,MX-TAM,country:mx/senate-state:tam,country:mx,Q53539360,2,11,1,
29,1,1,29,TLAXCALA,Tlaxcala,MX-TLA,country:mx/senate-state:tla,country:mx,Q53539368,4,14,1,
30,2,1,30,VERACRUZ,Veracruz,MX-VER,country:mx/senate-state:ver,country:mx,Q53539375,3,9,2,
31,1,1,31,YUCATAN,Yucatán,MX-YUC,country:mx/senate-state:yuc,country:mx,Q53539380,3,10,1,
32,1,2,32,ZACATECAS,Zacatecas,MX-ZAC,country:mx/senate-state:zac,country:mx,Q53539385,2,1,1,
