label_en,label_es,desc_en,desc_es,type,state,MS_FB_PARE,MS_FB,WIKIDATA
XIV Local Electoral District of Baja California,XIV Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:14,Q52991628
XV Local Electoral District of Baja California,XV Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:15,Q52991629
XVI Local Electoral District of Baja California,XVI Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:16,Q52991630
XVII Local Electoral District of Baja California,XVII Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:17,Q52991631
I Local Electoral District of Baja California Sur,I Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:1,Q52991738
II Local Electoral District of Baja California Sur,II Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:2,Q52991740
III Local Electoral District of Baja California Sur,III Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:3,Q52991741
IV Local Electoral District of Baja California Sur,IV Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:4,Q52991742
V Local Electoral District of Baja California Sur,V Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:5,Q52991744
VI Local Electoral District of Baja California Sur,VI Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:6,Q52991745
VII Local Electoral District of Baja California Sur,VII Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:7,Q52991746
VIII Local Electoral District of Baja California Sur,VIII Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:8,Q52991748
IX Local Electoral District of Baja California Sur,IX Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:9,Q52991749
X Local Electoral District of Baja California Sur,X Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:10,Q52991755
XI Local Electoral District of Baja California Sur,XI Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:11,Q52991757
XII Local Electoral District of Baja California Sur,XII Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:12,Q52991758
XIII Local Electoral District of Baja California Sur,XIII Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:13,Q52991759
XIV Local Electoral District of Baja California Sur,XIV Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:14,Q52991760
XV Local Electoral District of Baja California Sur,XV Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:15,Q52991761
XVI Local Electoral District of Baja California Sur,XVI Distrito Electoral Local de Baja California Sur,local district of Baja California Sur,distrito local de Baja California Sur,local electoral district of Baja California Sur,Baja California Sur,country:mx/state:bcs,country:mx/state:bcs/led:16,Q52991763
I Local Electoral District of Campeche,I Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:1,Q52991473
II Local Electoral District of Campeche,II Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:2,Q52991474
III Local Electoral District of Campeche,III Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:3,Q52991475
IV Local Electoral District of Campeche,IV Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:4,Q52991476
V Local Electoral District of Campeche,V Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:5,Q52991477
VI Local Electoral District of Campeche,VI Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:6,Q52991478
VII Local Electoral District of Campeche,VII Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:7,Q52991480
VIII Local Electoral District of Campeche,VIII Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:8,Q52991481
IX Local Electoral District of Campeche,IX Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:9,Q52991482
X Local Electoral District of Campeche,X Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:10,Q52991484
XI Local Electoral District of Campeche,XI Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:11,Q52991486
XII Local Electoral District of Campeche,XII Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:12,Q52991487
XIII Local Electoral District of Campeche,XIII Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:13,Q52991488
XIV Local Electoral District of Campeche,XIV Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:14,Q52991489
XV Local Electoral District of Campeche,XV Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:15,Q52991491
XVI Local Electoral District of Campeche,XVI Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:16,Q52991492
XVII Local Electoral District of Campeche,XVII Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:17,Q52991494
XVIII Local Electoral District of Campeche,XVIII Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:18,Q52991495
XIX Local Electoral District of Campeche,XIX Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:19,Q52991497
XX Local Electoral District of Campeche,XX Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:20,Q52991501
XXI Local Electoral District of Campeche,XXI Distrito Electoral Local de Campeche,local district of Campeche,distrito local de Campeche,local electoral district of Campeche,Campeche,country:mx/state:cam,country:mx/state:cam/led:21,Q52991502
I Local Electoral District of Coahuila,I Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:1,Q53000144
II Local Electoral District of Coahuila,II Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:2,Q53000147
III Local Electoral District of Coahuila,III Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:3,Q53000149
IV Local Electoral District of Coahuila,IV Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:4,Q53000150
V Local Electoral District of Coahuila,V Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:5,Q53000151
VI Local Electoral District of Coahuila,VI Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:6,Q53000152
VII Local Electoral District of Coahuila,VII Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:7,Q53000154
VIII Local Electoral District of Coahuila,VIII Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:8,Q53000157
IX Local Electoral District of Coahuila,IX Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:9,Q53000159
X Local Electoral District of Coahuila,X Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:10,Q53000175
XI Local Electoral District of Coahuila,XI Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:11,Q53000184
XII Local Electoral District of Coahuila,XII Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:12,Q53000185
XIII Local Electoral District of Coahuila,XIII Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:13,Q53000187
XIV Local Electoral District of Coahuila,XIV Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:14,Q53000189
XV Local Electoral District of Coahuila,XV Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:15,Q53000192
XVI Local Electoral District of Coahuila,XVI Distrito Electoral Local de Coahuila,local district of Coahuila,distrito local de Coahuila,local electoral district of Coahuila,Coahuila,country:mx/state:coa,country:mx/state:coa/led:16,Q53000193
I Local Electoral District of Colima,I Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:1,Q53000197
II Local Electoral District of Colima,II Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:2,Q53000199
III Local Electoral District of Colima,III Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:3,Q53000210
IV Local Electoral District of Colima,IV Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:4,Q53000220
V Local Electoral District of Colima,V Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:5,Q53000221
VI Local Electoral District of Colima,VI Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:6,Q53000225
VII Local Electoral District of Colima,VII Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:7,Q53000227
VIII Local Electoral District of Colima,VIII Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:8,Q53000229
IX Local Electoral District of Colima,IX Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:9,Q53000232
X Local Electoral District of Colima,X Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:10,Q53000233
XI Local Electoral District of Colima,XI Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:11,Q53000236
XII Local Electoral District of Colima,XII Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:12,Q53000245
XIII Local Electoral District of Colima,XIII Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:13,Q53000257
XIV Local Electoral District of Colima,XIV Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:14,Q53000258
XV Local Electoral District of Colima,XV Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:15,Q53000260
XVI Local Electoral District of Colima,XVI Distrito Electoral Local de Colima,local district of Colima,distrito local de Colima,local electoral district of Colima,Colima,country:mx/state:col,country:mx/state:col/led:16,Q53000262
I Local Electoral District of Chiapas,I Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:1,Q53000265
II Local Electoral District of Chiapas,II Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:2,Q53000266
III Local Electoral District of Chiapas,III Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:3,Q53000269
IV Local Electoral District of Chiapas,IV Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:4,Q53000272
V Local Electoral District of Chiapas,V Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:5,Q53000282
VI Local Electoral District of Chiapas,VI Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:6,Q53000294
VII Local Electoral District of Chiapas,VII Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:7,Q53000295
VIII Local Electoral District of Chiapas,VIII Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:8,Q53000297
IX Local Electoral District of Chiapas,IX Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:9,Q53000299
X Local Electoral District of Chiapas,X Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:10,Q53000302
XI Local Electoral District of Chiapas,XI Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:11,Q53000303
XII Local Electoral District of Chiapas,XII Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:12,Q53000305
XIII Local Electoral District of Chiapas,XIII Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:13,Q53000306
XIV Local Electoral District of Chiapas,XIV Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:14,Q53000316
XV Local Electoral District of Chiapas,XV Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:15,Q53000326
XVI Local Electoral District of Chiapas,XVI Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:16,Q53000330
XVII Local Electoral District of Chiapas,XVII Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:17,Q53000333
XVIII Local Electoral District of Chiapas,XVIII Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:18,Q53000335
XIX Local Electoral District of Chiapas,XIX Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:19,Q53000338
XX Local Electoral District of Chiapas,XX Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:20,Q53000339
XXI Local Electoral District of Chiapas,XXI Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:21,Q53000342
XXII Local Electoral District of Chiapas,XXII Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:22,Q53000343
XXIII Local Electoral District of Chiapas,XXIII Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:23,Q53000353
XXIV Local Electoral District of Chiapas,XXIV Distrito Electoral Local de Chiapas,local district of Chiapas,distrito local de Chiapas,local electoral district of Chiapas,Chiapas,country:mx/state:chp,country:mx/state:chp/led:24,Q53000360
I Local Electoral District of Chihuahua,I Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:1,Q53000362
II Local Electoral District of Chihuahua,II Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:2,Q53000365
III Local Electoral District of Chihuahua,III Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:3,Q53000367
IV Local Electoral District of Chihuahua,IV Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:4,Q53000369
V Local Electoral District of Chihuahua,V Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:5,Q53000372
VI Local Electoral District of Chihuahua,VI Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:6,Q53000375
