label_en,label_es,desc_en,desc_es,type,state,MS_FB_PARE,MS_FB,WIKIDATA
I Local Electoral District of Aguascalientes,I Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:1,Q52991137
II Local Electoral District of Aguascalientes,II Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:2,Q52991138
III Local Electoral District of Aguascalientes,III Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:3,Q52991139
IV Local Electoral District of Aguascalientes,IV Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:4,Q53009735
V Local Electoral District of Aguascalientes,V Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:5,Q52991141
VI Local Electoral District of Aguascalientes,VI Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:6,Q52991142
VII Local Electoral District of Aguascalientes,VII Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:7,Q52991143
VIII Local Electoral District of Aguascalientes,VIII Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:8,Q52991144
IX Local Electoral District of Aguascalientes,IX Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:9,Q52991146
X Local Electoral District of Aguascalientes,X Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:10,Q52991147
XI Local Electoral District of Aguascalientes,XI Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:11,Q52991152
XII Local Electoral District of Aguascalientes,XII Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:12,Q52991153
XIII Local Electoral District of Aguascalientes,XIII Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:13,Q52991154
XIV Local Electoral District of Aguascalientes,XIV Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:14,Q52991155
XV Local Electoral District of Aguascalientes,XV Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:15,Q52991157
XVI Local Electoral District of Aguascalientes,XVI Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:16,Q52991158
XVII Local Electoral District of Aguascalientes,XVII Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:17,Q52991159
XVIII Local Electoral District of Aguascalientes,XVIII Distrito Electoral Local de Aguascalientes,local district of Aguascalientes,distrito local de Aguascalientes,local electoral district of Aguascalientes,Aguascalientes,country:mx/state:agu,country:mx/state:agu/led:18,Q52991160
I Local Electoral District of Baja California,I Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:1,Q52991611
II Local Electoral District of Baja California,II Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:2,Q52991612
III Local Electoral District of Baja California,III Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:3,Q52991614
IV Local Electoral District of Baja California,IV Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:4,Q52991615
V Local Electoral District of Baja California,V Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:5,Q52991616
VI Local Electoral District of Baja California,VI Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:6,Q52991617
VII Local Electoral District of Baja California,VII Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:7,Q52991618
VIII Local Electoral District of Baja California,VIII Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:8,Q52991619
IX Local Electoral District of Baja California,IX Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:9,Q52991621
X Local Electoral District of Baja California,X Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:10,Q52991624
XI Local Electoral District of Baja California,XI Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:11,Q52991625
XII Local Electoral District of Baja California,XII Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:12,Q52991626
XIII Local Electoral District of Baja California,XIII Distrito Electoral Local de Baja California,local district of Baja California,distrito local de Baja California,local electoral district of Baja California,Baja California,country:mx/state:bcn,country:mx/state:bcn/led:13,Q52991627
