CVE_ENT,CVE_MUN,CVEGEO,NOMGEO,NAME,ISO 3166-2,WIKIDATA,municipali,MS_FB_PARE,MS_FB,states_MS_
12,001,12001,Acapulco de Juárez,Acapulco,MX-GRO,Q2378103,Q2378103,country:mx/state:gro,country:mx/state:gro/municipality:acapulco-de-juarez,country:mx/state:gro
01,001,01001,Aguascalientes,Aguascalientes,MX-AGU,Q391149,Q391149,country:mx/state:agu,country:mx/state:agu/municipality:aguascalientes,country:mx/state:agu
23,005,23005,Benito Juárez,Cancún,MX-ROO,Q2279198,Q2279198,country:mx/state:roo,country:mx/state:roo/municipality:benito-juarez,country:mx/state:roo
11,007,11007,Celaya,Celaya,MX-GUA,Q668273,Q668273,country:mx/state:gua,country:mx/state:gua/municipality:celaya,country:mx/state:gua
08,019,08019,Chihuahua,Chihuahua,MX-CHH,Q2475171,Q2475171,country:mx/state:chh,country:mx/state:chh/municipality:chihuahua,country:mx/state:chh
15,031,15031,Chimalhuacán,Chimalhuacán,MX-MEX,Q2497047,Q2497047,country:mx/state:mex,country:mx/state:mex/municipality:chimalhuacan,country:mx/state:mex
19,006,19006,Apodaca,Ciudad Apodaca,MX-NLE,Q27797574,Q27797574,country:mx/state:nle,country:mx/state:nle/municipality:apodaca,country:mx/state:nle
30,152,30152,Tampico Alto,Ciudad López Mateos,MX-MEX,Q749761,Q749761,country:mx/state:mex,country:mx/state:mex/municipality:tampico-alto,country:mx/state:mex
15,060,15060,Nicolás Romero,Ciudad Nicolás Romero,MX-MEX,Q2526463,Q2526463,country:mx/state:mex,country:mx/state:mex/municipality:nicolas-romero,country:mx/state:mex
26,018,26018,Cajeme,Ciudad Obregón,MX-SON,Q1430907,Q1430907,country:mx/state:son,country:mx/state:son/municipality:cajeme,country:mx/state:son
28,041,28041,Victoria,Ciudad Victoria,MX-TAM,Q7926884,Q7926884,country:mx/state:tam,country:mx/state:tam/municipality:victoria,country:mx/state:tam
15,020,15020,Coacalco de Berriozábal,Coacalco de Berriozábal,MX-MEX,Q1781109,Q1781109,country:mx/state:mex,country:mx/state:mex/municipality:coacalco-de-berriozabal,country:mx/state:mex
15,121,15121,Cuautitlán Izcalli,Cuautitlán Izcalli,MX-MEX,Q4406321,Q4406321,country:mx/state:mex,country:mx/state:mex/municipality:cuautitlan-izcalli,country:mx/state:mex
17,007,17007,Cuernavaca,Cuernavaca,MX-MOR,Q5793859,Q5793859,country:mx/state:mor,country:mx/state:mor/municipality:cuernavaca,country:mx/state:mor
25,006,25006,Culiacán,Culiacán,MX-SIN,Q2485095,Q2485095,country:mx/state:sin,country:mx/state:sin/municipality:culiacan,country:mx/state:sin
08,027,08027,Guachochi,Durango,MX-DUR,Q2832731,Q2832731,country:mx/state:dur,country:mx/state:dur/municipality:guachochi,country:mx/state:dur
15,033,15033,Ecatepec de Morelos,Ecatepec,MX-MEX,Q15121208,Q15121208,country:mx/state:mex,country:mx/state:mex/municipality:ecatepec-de-morelos,country:mx/state:mex
02,001,02001,Ensenada,Ensenada,MX-BCN,Q1548691,Q1548691,country:mx/state:bcn,country:mx/state:bcn/municipality:ensenada,country:mx/state:bcn
19,021,19021,General Escobedo,General Escobedo,MX-NLE,Q778941,Q778941,country:mx/state:nle,country:mx/state:nle/municipality:general-escobedo,country:mx/state:nle
14,039,14039,Guadalajara,Guadalajara,MX-JAL,Q12348369,Q12348369,country:mx/state:jal,country:mx/state:jal/municipality:guadalajara,country:mx/state:jal
08,028,08028,Guadalupe,Guadalupe,MX-CHH,Q2997100,Q2997100,country:mx/state:chh,country:mx/state:chh/municipality:guadalupe,country:mx/state:chh
10,012,10012,Lerdo,Gómez Palacio,MX-DUR,Q2351085,Q2351085,country:mx/state:dur,country:mx/state:dur/municipality:lerdo,country:mx/state:dur
26,030,26030,Hermosillo,Hermosillo,MX-SON,Q1142677,Q1142677,country:mx/state:son,country:mx/state:son/municipality:hermosillo,country:mx/state:son
11,017,11017,Irapuato,Irapuato,MX-GUA,Q9009232,Q9009232,country:mx/state:gua,country:mx/state:gua/municipality:irapuato,country:mx/state:gua
15,039,15039,Ixtapaluca,Ixtapaluca,MX-MEX,Q1130484,Q1130484,country:mx/state:mex,country:mx/state:mex/municipality:ixtapaluca,country:mx/state:mex
08,037,08037,Juárez,Juárez,MX-CHH,Q2557122,Q2557122,country:mx/state:chh,country:mx/state:chh/municipality:juarez,country:mx/state:chh
11,020,11020,León,León,MX-GUA,Q9022143,Q9022143,country:mx/state:gua,country:mx/state:gua/municipality:leon,country:mx/state:gua
10,023,10023,Pueblo Nuevo,Mazatlán,MX-SIN,Q2652458,Q2652458,country:mx/state:sin,country:mx/state:sin/municipality:pueblo-nuevo,country:mx/state:sin
02,002,02002,Mexicali,Mexicali,MX-BCN,Q1477270,Q1477270,country:mx/state:bcn,country:mx/state:bcn/municipality:mexicali,country:mx/state:bcn
19,039,19039,Monterrey,Monterrey,MX-NLE,Q6905368,Q6905368,country:mx/state:nle,country:mx/state:nle/municipality:monterrey,country:mx/state:nle
16,053,16053,Morelia,Morelia,MX-MIC,Q10972151,Q10972151,country:mx/state:mic,country:mx/state:mic/municipality:morelia,country:mx/state:mic
31,076,31076,Tecoh,Mérida,MX-YUC,Q2651972,Q2651972,country:mx/state:yuc,country:mx/state:yuc/municipality:tecoh,country:mx/state:yuc
15,057,15057,Naucalpan de Juárez,Naucalpan,MX-MEX,Q219574,Q219574,country:mx/state:mex,country:mx/state:mex/municipality:naucalpan-de-juarez,country:mx/state:mex
15,058,15058,Nezahualcóyotl,Nezahualcóyotl,MX-MEX,Q3313478,Q3313478,country:mx/state:mex,country:mx/state:mex/municipality:nezahualcoyotl,country:mx/state:mex
28,027,28027,Nuevo Laredo,Nuevo Laredo,MX-TAM,Q2450312,Q2450312,country:mx/state:tam,country:mx/state:tam/municipality:nuevo-laredo,country:mx/state:tam
20,067,20067,Oaxaca de Juárez,Oaxaca,MX-OAX,Q2000066,Q2000066,country:mx/state:oax,country:mx/state:oax/municipality:oaxaca-de-juarez,country:mx/state:oax
