CVE_ENT,CVE_MUN,CVEGEO,NOMGEO,NAME,ISO 3166-2,WIKIDATA,municipali,MS_FB_PARE,MS_FB,states_MS_
13,048,13048,Pachuca de Soto,Pachuca,MX-HID,Q1370932,Q1370932,country:mx/state:hid,country:mx/state:hid/municipality:pachuca-de-soto,country:mx/state:hid
21,114,21114,Puebla,Puebla,MX-PUE,Q7258412,Q7258412,country:mx/state:pue,country:mx/state:pue/municipality:puebla,country:mx/state:pue
22,014,22014,Querétaro,Querétaro,MX-QUE,Q2917451,Q2917451,country:mx/state:que,country:mx/state:que/municipality:queretaro,country:mx/state:que
05,024,05024,Parras,Saltillo,MX-COA,Q53078,Q53078,country:mx/state:coa,country:mx/state:coa/municipality:parras,country:mx/state:coa
24,028,24028,San Luis Potosí,San Luis Potosí,MX-SLP,Q204271,Q204271,country:mx/state:slp,country:mx/state:slp/municipality:san-luis-potosi,country:mx/state:slp
19,046,19046,San Nicolás de los Garza,San Nicolás de los Garza,MX-NLE,Q914055,Q914055,country:mx/state:nle,country:mx/state:nle/municipality:san-nicolas-de-los-garza,country:mx/state:nle
11,034,11034,Santa Catarina,Santa Catarina,MX-GUA,Q2991533,Q2991533,country:mx/state:gua,country:mx/state:gua/municipality:santa-catarina,country:mx/state:gua
24,035,24035,Soledad de Graciano Sánchez,Soledad de Graciano Sánchez,MX-SLP,Q1962080,Q1962080,country:mx/state:slp,country:mx/state:slp/municipality:soledad-de-graciano-sanchez,country:mx/state:slp
28,038,28038,Tampico,Tampico,MX-TAM,Q4450971,Q4450971,country:mx/state:tam,country:mx/state:tam/municipality:tampico,country:mx/state:tam
18,017,18017,Tepic,Tepic,MX-NAY,Q2001115,Q2001115,country:mx/state:nay,country:mx/state:nay/municipality:tepic,country:mx/state:nay
02,004,02004,Tijuana,Tijuana,MX-BCN,Q2360428,Q2360428,country:mx/state:bcn,country:mx/state:bcn/municipality:tijuana,country:mx/state:bcn
15,104,15104,Tlalnepantla de Baz,Tlalnepantla,MX-MEX,Q845307,Q845307,country:mx/state:mex,country:mx/state:mex/municipality:tlalnepantla-de-baz,country:mx/state:mex
15,106,15106,Toluca,Toluca,MX-MEX,Q2308567,Q2308567,country:mx/state:mex,country:mx/state:mex/municipality:toluca,country:mx/state:mex
07,097,07097,Tonalá,Tonalá,MX-CHP,Q2636407,Q2636407,country:mx/state:chp,country:mx/state:chp/municipality:tonala,country:mx/state:chp
05,035,05035,Torreón,Torreón,MX-COA,Q3238418,Q3238418,country:mx/state:coa,country:mx/state:coa/municipality:torreon,country:mx/state:coa
07,101,07101,Tuxtla Gutiérrez,Tuxtla Gutiérrez,MX-CHP,Q2002727,Q2002727,country:mx/state:chp,country:mx/state:chp/municipality:tuxtla-gutierrez,country:mx/state:chp
16,035,16035,La Huacana,Uruapan,MX-MIC,Q3868473,Q3868473,country:mx/state:mic,country:mx/state:mic/municipality:la-huacana,country:mx/state:mic
30,193,30193,Veracruz,Veracruz,,Q173270,Q173270,,/municipality:veracruz,
27,004,27004,Centro,Villahermosa,MX-TAB,Q2994111,Q2994111,country:mx/state:tab,country:mx/state:tab/municipality:centro,country:mx/state:tab
30,087,30087,Xalapa,Xalapa,MX-VER,Q12816823,Q12816823,country:mx/state:ver,country:mx/state:ver/municipality:xalapa,country:mx/state:ver
30,092,30092,Xico,Xico,MX-VER,Q20270917,Q20270917,country:mx/state:ver,country:mx/state:ver/municipality:xico,country:mx/state:ver
14,120,14120,Zapopan,Zapopan,MX-JAL,Q2143868,Q2143868,country:mx/state:jal,country:mx/state:jal/municipality:zapopan,country:mx/state:jal
